"Timestamp","Sex","Age","Highest completed level of education","Do you have a significant other?","Which one do you prefer most?","How many sexual partners have you had in the past year ","Would you consider yourself sexually adventurous?","What type of snacks do you prefer?"
"2018/11/15 12:22:14 AM GMT+1","Female","25","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:22:31 AM GMT+1","Female","27","Bachelor","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:24:46 AM GMT+1","Male","20","High school","No","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:25:15 AM GMT+1","Male","27","Bachelor","No","Sex","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:25:20 AM GMT+1","Female","25","High school","No","Sex","14","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:25:49 AM GMT+1","Female","20","High school","Yes","Sex","7","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:26:06 AM GMT+1","Female","","Bachelor","No","Cuddling","3","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:26:09 AM GMT+1","Prefer not to say","23","High school","Maybe","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:26:55 AM GMT+1","Male","23","Bachelor","Maybe","Cuddling","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:27:29 AM GMT+1","Male","25","Bachelor","Maybe","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:28:21 AM GMT+1","Male","17","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:28:28 AM GMT+1","Male","17","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:29:42 AM GMT+1","Female","19","High school","Yes","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:30:31 AM GMT+1","Prefer not to say","20","High school","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:30:33 AM GMT+1","Female","22","High school","Yes","Sex","5","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:31:14 AM GMT+1","*confused screaming*","14","PhD","No","Cuddling","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:31:40 AM GMT+1","Female","20","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:31:43 AM GMT+1","Male","20","No education","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:32:06 AM GMT+1","Female","21","High school","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:32:54 AM GMT+1","Male","22","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:33:24 AM GMT+1","Female","25","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:33:54 AM GMT+1","Female","20","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:34:04 AM GMT+1","Male","21","High school","No","Cuddling","5","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:35:00 AM GMT+1","Female","35","Masters","No","Sex","2","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:35:42 AM GMT+1","Male","20","High school","No","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:36:11 AM GMT+1","Male","18","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:37:02 AM GMT+1","Male","30","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:37:46 AM GMT+1","Female","27","Bachelor","Maybe","Sex","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:38:01 AM GMT+1","Female","20","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:38:06 AM GMT+1","Male","17","No education","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:39:14 AM GMT+1","Female","23","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:39:42 AM GMT+1","Male","21","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:40:48 AM GMT+1","Female","18","High school","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:40:53 AM GMT+1","Female","22","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:41:19 AM GMT+1","Female","29","Masters","Maybe","Sex","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:41:50 AM GMT+1","Male","27","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:42:57 AM GMT+1","Male","17","High school","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:42:57 AM GMT+1","Male","24","Bachelor","Maybe","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:43:30 AM GMT+1","Female","23","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:43:40 AM GMT+1","Female","22","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:44:02 AM GMT+1","Female","27","Masters","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:44:12 AM GMT+1","Male","27","Bachelor","No","Sex","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:45:17 AM GMT+1","Male","17","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:45:29 AM GMT+1","Prefer not to say","23","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:47:11 AM GMT+1","Male","15","No education","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:47:56 AM GMT+1","Male","","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:48:01 AM GMT+1","Male","23","High school","No","Sex","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:49:08 AM GMT+1","Female","21","High school","No","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:50:14 AM GMT+1","Male","40","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:50:16 AM GMT+1","Female","25","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:50:17 AM GMT+1","Male","15","High school","No","Cuddling","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:50:45 AM GMT+1","Male","27","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:54:40 AM GMT+1","Female","55","Bachelor","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:56:48 AM GMT+1","Male","28","Masters","Yes","Sex","8","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:56:59 AM GMT+1","Male","26","Bachelor","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 12:57:55 AM GMT+1","Male","25","Bachelor","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:58:51 AM GMT+1","Male","42","High school","Maybe","Sex","5","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 12:59:53 AM GMT+1","Female","38","Masters","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:00:04 AM GMT+1","Male","20","High school","No","Sex","2","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:00:21 AM GMT+1","Female","22","Bachelor","Yes","Sex","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:00:42 AM GMT+1","Male","17","High school","No","Sex","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:01:41 AM GMT+1","Male","13","No education","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:01:46 AM GMT+1","Male","32","Bachelor","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:02:04 AM GMT+1","Male","22","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:02:36 AM GMT+1","Male","23","Bachelor","No","Sex","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:02:57 AM GMT+1","Female","46","PhD","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:03:34 AM GMT+1","Female","38","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:03:57 AM GMT+1","Female","26","No education","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:04:17 AM GMT+1","Male","19","High school","Maybe","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:04:40 AM GMT+1","Female","25","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:04:55 AM GMT+1","Male","16","High school","No","Sex","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:05:49 AM GMT+1","Male","21","High school","Yes","Sex","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:07:28 AM GMT+1","Female","22","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:10:11 AM GMT+1","Male","28","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:11:53 AM GMT+1","Male","17","High school","No","Sex","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:14:47 AM GMT+1","Male","23","High school","No","Sex","6","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:15:25 AM GMT+1","Male","30","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:16:49 AM GMT+1","Male","24","Bachelor","No","Sex","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:17:22 AM GMT+1","Female","18","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:18:10 AM GMT+1","Androgyne","26","Bachelor","Maybe","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:19:35 AM GMT+1","Female","41","Masters","Maybe","Sex","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:19:55 AM GMT+1","Female","39","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:20:36 AM GMT+1","Female","22","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:21:55 AM GMT+1","Male","16","No education","No","Sex","7","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:22:07 AM GMT+1","Male","21","High school","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:22:27 AM GMT+1","Male","35","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:25:12 AM GMT+1","Male","33","Bachelor","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:25:35 AM GMT+1","Male","17","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:25:59 AM GMT+1","Female","28","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:27:45 AM GMT+1","Male","21","High school","No","Sex","3","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:27:45 AM GMT+1","Male","20","Bachelor","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:28:44 AM GMT+1","Female","25","Bachelor","No","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:29:04 AM GMT+1","Male","17","No education","No","Sex","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:29:20 AM GMT+1","Male","22","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:29:44 AM GMT+1","Male","22","Bachelor","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:31:53 AM GMT+1","Female","25","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:32:18 AM GMT+1","Female","33","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:32:27 AM GMT+1","Female","27","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:34:42 AM GMT+1","Female","19","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:34:43 AM GMT+1","Female","23","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:37:24 AM GMT+1","Male","18","High school","Yes","Sex","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:37:53 AM GMT+1","Male","20","High school","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:38:14 AM GMT+1","Male","28","High school","Maybe","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:38:38 AM GMT+1","Female","29","Masters","Yes","Sex","9","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:39:13 AM GMT+1","Female","19","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:39:48 AM GMT+1","Male","20","Bachelor","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:40:06 AM GMT+1","Female","31","Bachelor","Maybe","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:40:26 AM GMT+1","Male","24","Bachelor","Yes","Cuddling","3","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:41:18 AM GMT+1","Female","28","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:41:39 AM GMT+1","Male","17","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:42:42 AM GMT+1","Female","28","Masters","No","Cuddling","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:43:34 AM GMT+1","Male","23","Masters","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:43:40 AM GMT+1","Female","26","Bachelor","Yes","Cuddling","13","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:44:13 AM GMT+1","Female","34","Masters","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:44:23 AM GMT+1","Male","22","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:45:22 AM GMT+1","Female","18","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:45:29 AM GMT+1","Female","26","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:45:31 AM GMT+1","Female","25","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:46:45 AM GMT+1","Male","27","High school","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:47:55 AM GMT+1","Male","20","High school","No","Sex","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:48:28 AM GMT+1","Female","25","PhD","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:50:46 AM GMT+1","Female","22","No education","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:51:24 AM GMT+1","Male","30","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:51:26 AM GMT+1","Female","18","High school","No","Cuddling","15","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:52:36 AM GMT+1","Male","20","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:52:41 AM GMT+1","Female","22","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:52:56 AM GMT+1","Female","21","High school","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:53:06 AM GMT+1","Female","23","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:53:35 AM GMT+1","Male","16","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:54:00 AM GMT+1","Female","28","High school","Yes","Cuddling","7","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:54:44 AM GMT+1","Male","20","High school","No","Cuddling","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:54:53 AM GMT+1","Female","27","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:55:11 AM GMT+1","Male","30","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:55:38 AM GMT+1","Male","27","Bachelor","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:55:57 AM GMT+1","Female","27","Bachelor","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:56:52 AM GMT+1","Male","19","High school","Maybe","Cuddling","4","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:56:59 AM GMT+1","Male","20","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:57:18 AM GMT+1","Male","18","High school","Maybe","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:58:17 AM GMT+1","Male","33","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:58:53 AM GMT+1","Female","20","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 1:59:37 AM GMT+1","Female","32","Masters","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 1:59:49 AM GMT+1","Male","40","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:00:40 AM GMT+1","Male","17","High school","No","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:01:17 AM GMT+1","Male","20","High school","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:02:30 AM GMT+1","Female","18","","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:02:46 AM GMT+1","Female","21","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:03:11 AM GMT+1","Female","21","High school","Yes","Cuddling","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:03:15 AM GMT+1","Female","23","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:04:04 AM GMT+1","Male","21","Bachelor","Yes","Sex","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:04:25 AM GMT+1","Female","34","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:04:44 AM GMT+1","Male","23","Bachelor","No","Sex","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:04:51 AM GMT+1","Female","31","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:05:03 AM GMT+1","Female","21","Bachelor","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:05:25 AM GMT+1","Female","31","PhD","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:06:07 AM GMT+1","Female","28","High school","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:06:17 AM GMT+1","Female","26","Bachelor","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:06:27 AM GMT+1","Male","22","High school","No","Cuddling","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:06:44 AM GMT+1","Female","33","Masters","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:09:39 AM GMT+1","Male","17","No education","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:09:58 AM GMT+1","Male","23","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:10:30 AM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:10:31 AM GMT+1","Male","21","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:11:40 AM GMT+1","","31","Masters","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:12:10 AM GMT+1","Male","27","Masters","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:12:51 AM GMT+1","Male","30","PhD","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:13:23 AM GMT+1","Female","38","PhD","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:13:27 AM GMT+1","Female","38","PhD","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:13:30 AM GMT+1","Male","19","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:13:37 AM GMT+1","Female","26","Masters","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:16:59 AM GMT+1","Male","23","High school","No","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:17:54 AM GMT+1","Male","20","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:17:55 AM GMT+1","Female","22","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:18:58 AM GMT+1","Female","19","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:19:27 AM GMT+1","Female","28","Bachelor","Yes","Cuddling","5","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:19:40 AM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:20:57 AM GMT+1","Female","16","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:22:54 AM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:23:35 AM GMT+1","Male","22","Bachelor","Yes","Sex","5","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:24:03 AM GMT+1","Male","14","No education","Yes","Cuddling","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:25:13 AM GMT+1","Female","28","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:25:13 AM GMT+1","Male","30","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:26:31 AM GMT+1","Male","60","Bachelor","No","Sex","3","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:27:22 AM GMT+1","Female","15","High school","Maybe","Sex","2","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:30:47 AM GMT+1","Male","21","Bachelor","No","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:31:28 AM GMT+1","Male","17","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:31:59 AM GMT+1","Male","18","High school","No","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:32:00 AM GMT+1","Female","24","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:32:03 AM GMT+1","Male","20","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:33:33 AM GMT+1","Female","22","Masters","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:33:45 AM GMT+1","Male","20","High school","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:34:20 AM GMT+1","Male","34","PhD","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:35:07 AM GMT+1","Female","33","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:35:35 AM GMT+1","Male","25","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:37:05 AM GMT+1","Female","23","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:37:22 AM GMT+1","Female","22","Bachelor","No","Sex","3","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:37:43 AM GMT+1","Male","25","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:40:47 AM GMT+1","Female","24","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:41:28 AM GMT+1","Female","19","High school","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:41:30 AM GMT+1","Female","27","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/15 2:41:38 AM GMT+1","Female","27","PhD","Yes","Sex","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/15 2:42:11 AM GMT+1","Male","","Bachelor","No","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
