"Timestamp","Sex","Age","Highest completed level of education","Do you have a significant other?","Which one do you prefer most?","How many sexual partners have you had in the past year ","Would you consider yourself sexually adventurous?","What type of snacks do you prefer?"
"2018/11/14 4:45:09 PM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:45:37 PM GMT+1","Male","23","Bachelor","Yes","Sex","5","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:45:42 PM GMT+1","Female","25","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:45:56 PM GMT+1","Male","36","Bachelor","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:46:06 PM GMT+1","Male","25","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:46:44 PM GMT+1","Female","27","Bachelor","No","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:46:56 PM GMT+1","Male","23","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:46:59 PM GMT+1","Male","29","Masters","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:47:14 PM GMT+1","Female","24","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:47:19 PM GMT+1","Male","24","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:47:28 PM GMT+1","Male","27","Bachelor","No","Sex","7","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:47:48 PM GMT+1","Female","20","Bachelor","No","Cuddling","0 ","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:47:54 PM GMT+1","Female","21","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:48:14 PM GMT+1","Female","23","Bachelor","Yes","Cuddling","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:48:47 PM GMT+1","Male","33","Bachelor","No","Sex","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:49:11 PM GMT+1","Male","35","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:49:19 PM GMT+1","Male","21","Bachelor","Yes","Cuddling","2","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:49:25 PM GMT+1","Male","20","High school","No","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:49:34 PM GMT+1","Female","18","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:50:12 PM GMT+1","Female","28","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:50:17 PM GMT+1","Male","15","No education","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:50:32 PM GMT+1","Male","30","PhD","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:50:40 PM GMT+1","Female","39","PhD","Yes","Cuddling","39","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:50:50 PM GMT+1","Male","18","High school","No","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:51:01 PM GMT+1","Male","20","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:51:14 PM GMT+1","Female","25","High school","Yes","Sex","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:51:26 PM GMT+1","Female","16","No education","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:51:29 PM GMT+1","Male","25","Bachelor","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:51:46 PM GMT+1","Female","28","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:51:51 PM GMT+1","Male","22","Bachelor","No","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:51:54 PM GMT+1","Female","30","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:52:07 PM GMT+1","Male","19","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:52:36 PM GMT+1","Female","20","High school","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:53:30 PM GMT+1","Female","23","High school","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:54:04 PM GMT+1","Male","35","Bachelor","Yes","Sex","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:54:09 PM GMT+1","Male","32","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:54:09 PM GMT+1","Male","21","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:54:25 PM GMT+1","Female","49","Masters","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:55:41 PM GMT+1","Female","25","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:55:58 PM GMT+1","Female","38","PhD","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:56:21 PM GMT+1","Female","22","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:56:35 PM GMT+1","Male","32","Masters","Yes","Sex","5","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:56:41 PM GMT+1","Female","27","PhD","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:57:13 PM GMT+1","Female","34","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:57:25 PM GMT+1","Female","28","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:57:30 PM GMT+1","Male","19","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:57:34 PM GMT+1","Female","27","Bachelor","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:57:34 PM GMT+1","Male","23","Bachelor","Yes","Sex","3","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:57:51 PM GMT+1","Male","28","Bachelor","No","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:57:55 PM GMT+1","Female","32","Bachelor","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:58:05 PM GMT+1","Female","20","Bachelor","No","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:58:07 PM GMT+1","Female","30","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:58:08 PM GMT+1","Female","18","High school","Yes","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:59:24 PM GMT+1","Male","33","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:59:34 PM GMT+1","Female","19","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:59:39 PM GMT+1","Male","21","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:59:50 PM GMT+1","Female","23","Bachelor","No","Cuddling","6","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 5:00:07 PM GMT+1","Male","28","High school","No","Sex","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 5:00:25 PM GMT+1","Male","30","Masters","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 5:00:30 PM GMT+1","Male","18","High school","No","Sex","20","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 5:00:37 PM GMT+1","Female","22","High school","Yes","Sex","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 5:00:51 PM GMT+1","Male","18","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 5:01:10 PM GMT+1","Female","32","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 5:01:42 PM GMT+1","Male","36","Masters","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 5:02:22 PM GMT+1","Male","27","Bachelor","No","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
